TRACTID
002500
002600
005600
006800
006000
005900
005700
004900
005801
004800
004700
003200
003500
003400
003300
002800
002900
003000
003100
001701
001702
001600
001500
000200
002700
002200
002400
002000
002100
001900
001800
000900
001300
001100
001000
001200
000800
000600
000700
000100
000300
004100
005200
005100
005301
005000
004200
004301
004302
004000
004400
004500
004600
003600
003900
003800
001400
000402
000401
007800
009200
008800
008700
008600
008500
008100
008200
008300
008400
007900
007500
007700
007300
007402
007600
007401
006300
006200
006500
006600
006400
006700
006100
005400
005302
011700
011800
026400
026500
011002
011001
011102
011101
010200
010300
010401
010402
009300
010001
010100
009500
010002
009400
008900
009000
009100
012100
012000
011402
011600
011300
011500
011401
010800
010701
010600
010702
010500
009900
009702
009701
009800
009600
008001
008002
007200
007100
005802
007000
006900
026001
000500
010900
011200
011900
